hospcode,hospname,postcode,obs1url,ind1url,mortalityvalue,obs2url,ind2url,recommendvalue
http://nhs.publishmydata.com/id/organisation/nacs/RAE4H,Eccleshill Community Hospital,BD10 0JE,http://nhs.publishmydata.com/data/metric/96/year/2016/RAE4H,http://nhs.publishmydata.com/data/metric/96,0.9465,http://nhs.publishmydata.com/data/metric/182/year/2016/RAE4H,http://nhs.publishmydata.com/data/metric/182,66
http://nhs.publishmydata.com/id/organisation/nacs/RP5RE,Retford Hospital,DN22 7XF,http://nhs.publishmydata.com/data/metric/96/year/2016/RP5RE,http://nhs.publishmydata.com/data/metric/96,1.0004,http://nhs.publishmydata.com/data/metric/182/year/2016/RP5RE,http://nhs.publishmydata.com/data/metric/182,64
http://nhs.publishmydata.com/id/organisation/nacs/RCBL8,"Malton, Norton & District Hospital",YO17 7NG,http://nhs.publishmydata.com/data/metric/96/year/2016/RCBL8,http://nhs.publishmydata.com/data/metric/96,0.9949,http://nhs.publishmydata.com/data/metric/182/year/2016/RCBL8,http://nhs.publishmydata.com/data/metric/182,67
http://nhs.publishmydata.com/id/organisation/nacs/RGT50,Saffron Walden Community Hospital,CB11 3HY,http://nhs.publishmydata.com/data/metric/96/year/2016/RGT50,http://nhs.publishmydata.com/data/metric/96,0.8363,http://nhs.publishmydata.com/data/metric/182/year/2016/RGT50,http://nhs.publishmydata.com/data/metric/182,82
http://nhs.publishmydata.com/id/organisation/nacs/RWDAA,County Hospital Louth - United Lincolnshire Hospitals NHS Trust,LN11 0EU,http://nhs.publishmydata.com/data/metric/96/year/2016/RWDAA,http://nhs.publishmydata.com/data/metric/96,1.1099,http://nhs.publishmydata.com/data/metric/182/year/2016/RWDAA,http://nhs.publishmydata.com/data/metric/182,54
http://nhs.publishmydata.com/id/organisation/nacs/RCBNH,Bridlington & District Hospital,YO16 4QP,http://nhs.publishmydata.com/data/metric/96/year/2016/RCBNH,http://nhs.publishmydata.com/data/metric/96,0.9949,http://nhs.publishmydata.com/data/metric/182/year/2016/RCBNH,http://nhs.publishmydata.com/data/metric/182,67
http://nhs.publishmydata.com/id/organisation/nacs/RCBNH,Bridlington And District Hospital,YO16 4QP,http://nhs.publishmydata.com/data/metric/96/year/2016/RCBNH,http://nhs.publishmydata.com/data/metric/96,0.9949,http://nhs.publishmydata.com/data/metric/182/year/2016/RCBNH,http://nhs.publishmydata.com/data/metric/182,67
http://nhs.publishmydata.com/id/organisation/nacs/RCBNH,Bridlington & District Hospital,YO16 4QP,http://nhs.publishmydata.com/data/metric/96/year/2016/RCBNH,http://nhs.publishmydata.com/data/metric/96,0.9949,http://nhs.publishmydata.com/data/metric/182/year/2016/RCBNH,http://nhs.publishmydata.com/data/metric/182,67
http://nhs.publishmydata.com/id/organisation/nacs/RCBNH,Bridlington And District Hospital,YO16 4QP,http://nhs.publishmydata.com/data/metric/96/year/2016/RCBNH,http://nhs.publishmydata.com/data/metric/96,0.9949,http://nhs.publishmydata.com/data/metric/182/year/2016/RCBNH,http://nhs.publishmydata.com/data/metric/182,67
http://nhs.publishmydata.com/id/organisation/nacs/RQWG2,Herts and Essex Community Hospital,CM23 5JH,http://nhs.publishmydata.com/data/metric/96/year/2016/RQWG2,http://nhs.publishmydata.com/data/metric/96,0.9941,http://nhs.publishmydata.com/data/metric/182/year/2016/RQWG2,http://nhs.publishmydata.com/data/metric/182,68
http://nhs.publishmydata.com/id/organisation/nacs/RA212,Cranleigh Village Hospital,GU6 8AE,http://nhs.publishmydata.com/data/metric/96/year/2016/RA212,http://nhs.publishmydata.com/data/metric/96,0.8637,http://nhs.publishmydata.com/data/metric/182/year/2016/RA212,http://nhs.publishmydata.com/data/metric/182,78
http://nhs.publishmydata.com/id/organisation/nacs/RN332,Melksham Community Hospital,SN12 7NZ,http://nhs.publishmydata.com/data/metric/96/year/2016/RN332,http://nhs.publishmydata.com/data/metric/96,0.9466,http://nhs.publishmydata.com/data/metric/182/year/2016/RN332,http://nhs.publishmydata.com/data/metric/182,70
http://nhs.publishmydata.com/id/organisation/nacs/RN3C5,Warminster Community Hospital,BA12 8QS,http://nhs.publishmydata.com/data/metric/96/year/2016/RN3C5,http://nhs.publishmydata.com/data/metric/96,0.9466,http://nhs.publishmydata.com/data/metric/182/year/2016/RN3C5,http://nhs.publishmydata.com/data/metric/182,70
http://nhs.publishmydata.com/id/organisation/nacs/RXQ61,Buckingham Community Hospital,MK18 1NU,http://nhs.publishmydata.com/data/metric/96/year/2016/RXQ61,http://nhs.publishmydata.com/data/metric/96,0.9868,http://nhs.publishmydata.com/data/metric/182/year/2016/RXQ61,http://nhs.publishmydata.com/data/metric/182,62
http://nhs.publishmydata.com/id/organisation/nacs/RVY02,Ormskirk and District General Hospital,L39 2AZ,http://nhs.publishmydata.com/data/metric/96/year/2016/RVY02,http://nhs.publishmydata.com/data/metric/96,1.0789,http://nhs.publishmydata.com/data/metric/182/year/2016/RVY02,http://nhs.publishmydata.com/data/metric/182,54
http://nhs.publishmydata.com/id/organisation/nacs/RA959,Teignmouth Hospital,TQ14 9BQ,http://nhs.publishmydata.com/data/metric/96/year/2016/RA959,http://nhs.publishmydata.com/data/metric/96,0.8219,http://nhs.publishmydata.com/data/metric/182/year/2016/RA959,http://nhs.publishmydata.com/data/metric/182,79
http://nhs.publishmydata.com/id/organisation/nacs/RTK05,Weybridge Community Hospital,KT13 8DY,http://nhs.publishmydata.com/data/metric/96/year/2016/RTK05,http://nhs.publishmydata.com/data/metric/96,0.9377,http://nhs.publishmydata.com/data/metric/182/year/2016/RTK05,http://nhs.publishmydata.com/data/metric/182,65
http://nhs.publishmydata.com/id/organisation/nacs/RTK02,Ashford Hospital,TW15 3AA,http://nhs.publishmydata.com/data/metric/96/year/2016/RTK02,http://nhs.publishmydata.com/data/metric/96,0.9377,http://nhs.publishmydata.com/data/metric/182/year/2016/RTK02,http://nhs.publishmydata.com/data/metric/182,65
http://nhs.publishmydata.com/id/organisation/nacs/RDU01,Frimley Park Hospital,GU16 7UJ,http://nhs.publishmydata.com/data/metric/96/year/2016/RDU01,http://nhs.publishmydata.com/data/metric/96,0.9341,http://nhs.publishmydata.com/data/metric/182/year/2016/RDU01,http://nhs.publishmydata.com/data/metric/182,80
http://nhs.publishmydata.com/id/organisation/nacs/RTP01,East Surrey Hospital - Surrey and Sussex Healthcare NHS Trust,RH1 5RH,http://nhs.publishmydata.com/data/metric/96/year/2016/RTP01,http://nhs.publishmydata.com/data/metric/96,0.9518,http://nhs.publishmydata.com/data/metric/182/year/2016/RTP01,http://nhs.publishmydata.com/data/metric/182,79
http://nhs.publishmydata.com/id/organisation/nacs/RTP02,Crawley Hospital,RH11 7DH,http://nhs.publishmydata.com/data/metric/96/year/2016/RTP02,http://nhs.publishmydata.com/data/metric/96,0.9518,http://nhs.publishmydata.com/data/metric/182/year/2016/RTP02,http://nhs.publishmydata.com/data/metric/182,79
http://nhs.publishmydata.com/id/organisation/nacs/RWY11,Holmevalley Memorial Hospital,HD9 3TS,http://nhs.publishmydata.com/data/metric/96/year/2016/RWY11,http://nhs.publishmydata.com/data/metric/96,1.138,http://nhs.publishmydata.com/data/metric/182/year/2016/RWY11,http://nhs.publishmydata.com/data/metric/182,67
http://nhs.publishmydata.com/id/organisation/nacs/RXF10,Dewsbury and District Hospital,WF13 4HS,http://nhs.publishmydata.com/data/metric/96/year/2016/RXF10,http://nhs.publishmydata.com/data/metric/96,0.9473,http://nhs.publishmydata.com/data/metric/182/year/2016/RXF10,http://nhs.publishmydata.com/data/metric/182,46
http://nhs.publishmydata.com/id/organisation/nacs/RAL25,Hospital Of St John & St Elizabeth,NW8 9NH,http://nhs.publishmydata.com/data/metric/96/year/2016/RAL25,http://nhs.publishmydata.com/data/metric/96,0.8852,http://nhs.publishmydata.com/data/metric/182/year/2016/RAL25,http://nhs.publishmydata.com/data/metric/182,72
http://nhs.publishmydata.com/id/organisation/nacs/RAX01,Kingston Hospital,KT2 7QB,http://nhs.publishmydata.com/data/metric/96/year/2016/RAX01,http://nhs.publishmydata.com/data/metric/96,0.9263,http://nhs.publishmydata.com/data/metric/182/year/2016/RAX01,http://nhs.publishmydata.com/data/metric/182,68
http://nhs.publishmydata.com/id/organisation/nacs/R1K60,Meadow House Hospice,UB1 3HW,http://nhs.publishmydata.com/data/metric/96/year/2016/R1K60,http://nhs.publishmydata.com/data/metric/96,0.903,http://nhs.publishmydata.com/data/metric/182/year/2016/R1K60,http://nhs.publishmydata.com/data/metric/182,63
http://nhs.publishmydata.com/id/organisation/nacs/R1K60,Meadow House,UB1 3HW,http://nhs.publishmydata.com/data/metric/96/year/2016/R1K60,http://nhs.publishmydata.com/data/metric/96,0.903,http://nhs.publishmydata.com/data/metric/182/year/2016/R1K60,http://nhs.publishmydata.com/data/metric/182,63
http://nhs.publishmydata.com/id/organisation/nacs/RA301,Weston General Hospital,BS23 4TQ,http://nhs.publishmydata.com/data/metric/96/year/2016/RA301,http://nhs.publishmydata.com/data/metric/96,1.1674,http://nhs.publishmydata.com/data/metric/182/year/2016/RA301,http://nhs.publishmydata.com/data/metric/182,56
http://nhs.publishmydata.com/id/organisation/nacs/RAPNM,North Middlesex University Hospital NHS Trust,N18 1QX,http://nhs.publishmydata.com/data/metric/96/year/2016/RAPNM,http://nhs.publishmydata.com/data/metric/96,0.9494,http://nhs.publishmydata.com/data/metric/182/year/2016/RAPNM,http://nhs.publishmydata.com/data/metric/182,49
http://nhs.publishmydata.com/id/organisation/nacs/RXC02,Eastbourne District General Hospital,BN21 2UD,http://nhs.publishmydata.com/data/metric/96/year/2016/RXC02,http://nhs.publishmydata.com/data/metric/96,1.1352,http://nhs.publishmydata.com/data/metric/182/year/2016/RXC02,http://nhs.publishmydata.com/data/metric/182,54
http://nhs.publishmydata.com/id/organisation/nacs/RBZ12,North Devon District Hospital,EX31 4JB,http://nhs.publishmydata.com/data/metric/96/year/2016/RBZ12,http://nhs.publishmydata.com/data/metric/96,1.0085,http://nhs.publishmydata.com/data/metric/182/year/2016/RBZ12,http://nhs.publishmydata.com/data/metric/182,77
http://nhs.publishmydata.com/id/organisation/nacs/RBN02,St Helens Hospital,WA9 3DA,http://nhs.publishmydata.com/data/metric/96/year/2016/RBN02,http://nhs.publishmydata.com/data/metric/96,1.0338,http://nhs.publishmydata.com/data/metric/182/year/2016/RBN02,http://nhs.publishmydata.com/data/metric/182,82
http://nhs.publishmydata.com/id/organisation/nacs/RTX02,Royal Lancaster Infirmary,LA1 4RP,http://nhs.publishmydata.com/data/metric/96/year/2016/RTX02,http://nhs.publishmydata.com/data/metric/96,0.9914,http://nhs.publishmydata.com/data/metric/182/year/2016/RTX02,http://nhs.publishmydata.com/data/metric/182,64
http://nhs.publishmydata.com/id/organisation/nacs/RBL01,St. Catherines Hospital,CH42 0LQ,http://nhs.publishmydata.com/data/metric/96/year/2016/RBL01,http://nhs.publishmydata.com/data/metric/96,0.9834,http://nhs.publishmydata.com/data/metric/182/year/2016/RBL01,http://nhs.publishmydata.com/data/metric/182,66
http://nhs.publishmydata.com/id/organisation/nacs/RWWHG,Halton General Hospital,WA7 2DA,http://nhs.publishmydata.com/data/metric/96/year/2016/RWWHG,http://nhs.publishmydata.com/data/metric/96,1.1065,http://nhs.publishmydata.com/data/metric/182/year/2016/RWWHG,http://nhs.publishmydata.com/data/metric/182,54
http://nhs.publishmydata.com/id/organisation/nacs/RJF02,"Queen's Hospital, Burton Upon Trent",DE13 0RB,http://nhs.publishmydata.com/data/metric/96/year/2016/RJF02,http://nhs.publishmydata.com/data/metric/96,0.9653,http://nhs.publishmydata.com/data/metric/182/year/2016/RJF02,http://nhs.publishmydata.com/data/metric/182,70
http://nhs.publishmydata.com/id/organisation/nacs/RWPTC,Kidderminster Treatment Centre - Acute Trust,DY11 6RJ,http://nhs.publishmydata.com/data/metric/96/year/2016/RWPTC,http://nhs.publishmydata.com/data/metric/96,1.1257,http://nhs.publishmydata.com/data/metric/182/year/2016/RWPTC,http://nhs.publishmydata.com/data/metric/182,56
http://nhs.publishmydata.com/id/organisation/nacs/RJZ30,Princess Royal University Hospital,BR6 8ND,http://nhs.publishmydata.com/data/metric/96/year/2016/RJZ30,http://nhs.publishmydata.com/data/metric/96,0.8709,http://nhs.publishmydata.com/data/metric/182/year/2016/RJZ30,http://nhs.publishmydata.com/data/metric/182,69
http://nhs.publishmydata.com/id/organisation/nacs/RK953,Royal Eye Infirmary,PL6 8DH,http://nhs.publishmydata.com/data/metric/96/year/2016/RK953,http://nhs.publishmydata.com/data/metric/96,1.0047,http://nhs.publishmydata.com/data/metric/182/year/2016/RK953,http://nhs.publishmydata.com/data/metric/182,65
http://nhs.publishmydata.com/id/organisation/nacs/RK950,Derriford Hospital,PL6 8DH,http://nhs.publishmydata.com/data/metric/96/year/2016/RK950,http://nhs.publishmydata.com/data/metric/96,1.0047,http://nhs.publishmydata.com/data/metric/182/year/2016/RK950,http://nhs.publishmydata.com/data/metric/182,65
http://nhs.publishmydata.com/id/organisation/nacs/RYJ02,Charing Cross Hospital,W6 8RF,http://nhs.publishmydata.com/data/metric/96/year/2016/RYJ02,http://nhs.publishmydata.com/data/metric/96,0.758,http://nhs.publishmydata.com/data/metric/182/year/2016/RYJ02,http://nhs.publishmydata.com/data/metric/182,68
http://nhs.publishmydata.com/id/organisation/nacs/RTH05,Horton General Hospital,OX16 9AL,http://nhs.publishmydata.com/data/metric/96/year/2016/RTH05,http://nhs.publishmydata.com/data/metric/96,0.9858,http://nhs.publishmydata.com/data/metric/182/year/2016/RTH05,http://nhs.publishmydata.com/data/metric/182,75
http://nhs.publishmydata.com/id/organisation/nacs/RTH08,John Radcliffe Hospital,OX3 9DU,http://nhs.publishmydata.com/data/metric/96/year/2016/RTH08,http://nhs.publishmydata.com/data/metric/96,0.9858,http://nhs.publishmydata.com/data/metric/182/year/2016/RTH08,http://nhs.publishmydata.com/data/metric/182,75
http://nhs.publishmydata.com/id/organisation/nacs/RQ8L0,Broomfield Hospital,CM1 7ET,http://nhs.publishmydata.com/data/metric/96/year/2016/RQ8L0,http://nhs.publishmydata.com/data/metric/96,1.0814,http://nhs.publishmydata.com/data/metric/182/year/2016/RQ8L0,http://nhs.publishmydata.com/data/metric/182,70
http://nhs.publishmydata.com/id/organisation/nacs/RJ611,Croydon University Hospital,CR7 7YE,http://nhs.publishmydata.com/data/metric/96/year/2016/RJ611,http://nhs.publishmydata.com/data/metric/96,0.9858,http://nhs.publishmydata.com/data/metric/182/year/2016/RJ611,http://nhs.publishmydata.com/data/metric/182,57
http://nhs.publishmydata.com/id/organisation/nacs/RR7EM,Bensham Hospital,NE8 4YL,http://nhs.publishmydata.com/data/metric/96/year/2016/RR7EM,http://nhs.publishmydata.com/data/metric/96,0.9646,http://nhs.publishmydata.com/data/metric/182/year/2016/RR7EM,http://nhs.publishmydata.com/data/metric/182,76
http://nhs.publishmydata.com/id/organisation/nacs/RTE03,Gloucestershire Royal Hospital,GL1 3NN,http://nhs.publishmydata.com/data/metric/96/year/2016/RTE03,http://nhs.publishmydata.com/data/metric/96,1.1069,http://nhs.publishmydata.com/data/metric/182/year/2016/RTE03,http://nhs.publishmydata.com/data/metric/182,65
http://nhs.publishmydata.com/id/organisation/nacs/RWY01,Huddersfield Royal Infirmary,HD3 3EA,http://nhs.publishmydata.com/data/metric/96/year/2016/RWY01,http://nhs.publishmydata.com/data/metric/96,1.138,http://nhs.publishmydata.com/data/metric/182/year/2016/RWY01,http://nhs.publishmydata.com/data/metric/182,67
http://nhs.publishmydata.com/id/organisation/nacs/RNS01,Northampton General Hospital (Acute),NN1 5BD,http://nhs.publishmydata.com/data/metric/96/year/2016/RNS01,http://nhs.publishmydata.com/data/metric/96,0.9842,http://nhs.publishmydata.com/data/metric/182/year/2016/RNS01,http://nhs.publishmydata.com/data/metric/182,60
http://nhs.publishmydata.com/id/organisation/nacs/RTFEF,Rothbury Community Hospital,NE65 7RW,http://nhs.publishmydata.com/data/metric/96/year/2016/RTFEF,http://nhs.publishmydata.com/data/metric/96,1.0372,http://nhs.publishmydata.com/data/metric/182/year/2016/RTFEF,http://nhs.publishmydata.com/data/metric/182,85
