"onspostcodenospaces","X","Y","objectid","pcd2","hospcode","hospname","postcode","obs1url","ind1url","mortalityvalue","obs2url","ind2url","recommendvalue"
"AL35PN",-0.343939717209899,51.7600796278445,42903,"AL3  5PN","http://nhs.publishmydata.com/id/organisation/nacs/RWG03","St Albans City Hospital","AL3 5PN","http://nhs.publishmydata.com/data/metric/96/year/2016/RWG03","http://nhs.publishmydata.com/data/metric/96",0.9378,"http://nhs.publishmydata.com/data/metric/182/year/2016/RWG03","http://nhs.publishmydata.com/data/metric/182",54
"AL54TA",-0.352934756080859,51.8190590056918,45827,"AL5  4TA","http://nhs.publishmydata.com/id/organisation/nacs/RWG05","Harpenden Memorial Hospital","AL5 4TA","http://nhs.publishmydata.com/data/metric/96/year/2016/RWG05","http://nhs.publishmydata.com/data/metric/96",0.9378,"http://nhs.publishmydata.com/data/metric/182/year/2016/RWG05","http://nhs.publishmydata.com/data/metric/182",54
"AL74HQ",-0.187675830282042,51.782835386294,47939,"AL7  4HQ","http://nhs.publishmydata.com/id/organisation/nacs/RWH20","Queen Elizabeth I I Hospital","AL7 4HQ","http://nhs.publishmydata.com/data/metric/96/year/2016/RWH20","http://nhs.publishmydata.com/data/metric/96",1.0969,"http://nhs.publishmydata.com/data/metric/182/year/2016/RWH20","http://nhs.publishmydata.com/data/metric/182",67
"B152TH",-1.9384704681576,52.4531978906924,55028,"B15  2TH","http://nhs.publishmydata.com/id/organisation/nacs/RRK02","Queen Elizabeth Hospital","B15 2TH","http://nhs.publishmydata.com/data/metric/96/year/2016/RRK02","http://nhs.publishmydata.com/data/metric/96",1.0269,"http://nhs.publishmydata.com/data/metric/182/year/2016/RRK02","http://nhs.publishmydata.com/data/metric/182",82
"B152WB",-1.94177059049577,52.4501609367015,55062,"B15  2WB","http://nhs.publishmydata.com/id/organisation/nacs/RRK15","Queen Elizabeth Hospital Birmingham","B15 2WB","http://nhs.publishmydata.com/data/metric/96/year/2016/RRK15","http://nhs.publishmydata.com/data/metric/96",1.0269,"http://nhs.publishmydata.com/data/metric/182/year/2016/RRK15","http://nhs.publishmydata.com/data/metric/182",82
"B187QH",-1.93250107603604,52.4886423294683,57968,"B18  7QH","http://nhs.publishmydata.com/id/organisation/nacs/RXK02","City Hospital","B18 7QH","http://nhs.publishmydata.com/data/metric/96/year/2016/RXK02","http://nhs.publishmydata.com/data/metric/96",0.9927,"http://nhs.publishmydata.com/data/metric/182/year/2016/RXK02","http://nhs.publishmydata.com/data/metric/182",61
"B658DA",-2.05379791472769,52.4812507803844,86536,"B65  8DA","http://nhs.publishmydata.com/id/organisation/nacs/RXK10","Rowley Regis Hospital","B65 8DA","http://nhs.publishmydata.com/data/metric/96/year/2016/RXK10","http://nhs.publishmydata.com/data/metric/96",0.9927,"http://nhs.publishmydata.com/data/metric/182/year/2016/RXK10","http://nhs.publishmydata.com/data/metric/182",61
"B714HJ",-1.98787868380593,52.5273719178143,92815,"B71  4HJ","http://nhs.publishmydata.com/id/organisation/nacs/RXK01","Sandwell District General Hospital","B71 4HJ","http://nhs.publishmydata.com/data/metric/96/year/2016/RXK01","http://nhs.publishmydata.com/data/metric/96",0.9927,"http://nhs.publishmydata.com/data/metric/182/year/2016/RXK01","http://nhs.publishmydata.com/data/metric/182",61
"B757RR",-1.81203622156876,52.5673815560149,95999,"B75  7RR","http://nhs.publishmydata.com/id/organisation/nacs/RR106","Good Hope Hospital Treatment Centre","B75 7RR","http://nhs.publishmydata.com/data/metric/96/year/2016/RR106","http://nhs.publishmydata.com/data/metric/96",0.9759,"http://nhs.publishmydata.com/data/metric/182/year/2016/RR106","http://nhs.publishmydata.com/data/metric/182",55
"B757RR",-1.81203622156876,52.5673815560149,95999,"B75  7RR","http://nhs.publishmydata.com/id/organisation/nacs/RR105","Good Hope Hospital","B75 7RR","http://nhs.publishmydata.com/data/metric/96/year/2016/RR105","http://nhs.publishmydata.com/data/metric/96",0.9759,"http://nhs.publishmydata.com/data/metric/182/year/2016/RR105","http://nhs.publishmydata.com/data/metric/182",55
"B783NG",-1.72386041422216,52.6206818372256,99018,"B78  3NG","http://nhs.publishmydata.com/id/organisation/nacs/RJF05","Sir Robert Peel Hospital","B78 3NG","http://nhs.publishmydata.com/data/metric/96/year/2016/RJF05","http://nhs.publishmydata.com/data/metric/96",0.9653,"http://nhs.publishmydata.com/data/metric/182/year/2016/RJF05","http://nhs.publishmydata.com/data/metric/182",70
